Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.735384756468467,0.558852738423822,0.517616471236747,0,0,0,14.1869508369142,0.588462273329023,-1.04590253681186E-08,0.0697327503182638,1.47677539724383,9.62796663893039E-10,1.79873438535669,0,0,0,0,0,0,package://agv4_varo/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv4_varo/meshes/base_link.STL,,Body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left_Link,0,-0.016602338839462,-1.66533453693773E-16,0,0,0,0.52936994072617,0.000772904303756457,-8.70667323830793E-20,-3.67109231972611E-34,0.0013878620871552,6.44417065836E-18,0.000772904303756456,0,0,0,0,0,0,package://agv4_varo/meshes/Left_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv4_varo/meshes/Left_Link.STL,,Wheel-2,Left,Mid,Left_Joint,continuous,0.7477,-0.43534,0.78885,1.5708,0,0,base_link,0,1,0,,,,,,,,,,,,
Right_Link,-5.55111512312578E-16,0.016602338839462,-4.49640324973188E-15,0,0,0,0.529369940726169,0.000772904303756456,8.70716048896513E-20,1.91778702835882E-34,0.0013878620871552,2.16984719145409E-18,0.000772904303756456,0,0,0,0,0,0,package://agv4_varo/meshes/Right_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv4_varo/meshes/Right_Link.STL,,Wheel-1,Right,Mid,Right_Joint,continuous,0.7477,-0.43534,0.32885,1.5708,0,0,base_link,0,1,0,,,,,,,,,,,,
LFcon_Link,-0.00121269193407092,0,-0.000415480513364208,0,0,0,0.0257521038737953,8.61473826778216E-06,5.73987347316221E-21,-5.64302073523239E-07,8.11210346787567E-06,-2.28887866781496E-21,4.80769500241318E-06,0,0,0,0,0,0,package://agv4_varo/meshes/LFcon_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv4_varo/meshes/LFcon_Link.STL,,Wheelcon-2,LFcon,LF,LFcon_Joint,continuous,1.1981,-0.43034,0.74885,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
LF_Link,0,-0.00649999999999995,-5.55111512312578E-17,0,0,0,0.0364111988779923,8.56927811367131E-06,3.7519810031877E-25,2.71902666684233E-37,1.61103246905048E-05,2.54747297031203E-20,8.56927811367131E-06,0,0,0,0,0,0,package://agv4_varo/meshes/LF_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv4_varo/meshes/LF_Link.STL,,FB_wheel-2,LeftF,Front,LF_Joint,continuous,-0.0078639,0.0065,-0.04,0,0,0,LFcon_Link,0,1,0,,,,,,,,,,,,
RFcon_Link,-0.00121269193407092,0,-0.000415480513364208,0,0,0,0.0257521038737953,8.61473826778216E-06,5.32690604641113E-21,-5.6430207352324E-07,8.11210346787568E-06,-1.80308410426961E-21,4.80769500241318E-06,0,0,0,0,0,0,package://agv4_varo/meshes/RFcon_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv4_varo/meshes/RFcon_Link.STL,,Wheelcon-1,RFcon,RF,RFcon_Joint,continuous,1.1981,-0.43034,0.36885,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
RF_Link,-2.22044604925031E-16,0.00650000000000001,5.55111512312578E-17,0,0,0,0.0364111988779923,8.56927811367131E-06,1.67531682123137E-26,1.3747174277631E-38,1.61103246905048E-05,2.54747297031203E-20,8.56927811367131E-06,0,0,0,0,0,0,package://agv4_varo/meshes/RF_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv4_varo/meshes/RF_Link.STL,,FB_wheel-1,RightF,Front,RF_Joint,continuous,-0.0078639,-0.0065,-0.04,0,0,0,RFcon_Link,0,1,0,,,,,,,,,,,,
LBcon_Link,-0.00121269193407098,0,-0.000415480513364208,0,0,0,0.0257521038737953,8.6147382677822E-06,4.02553382122606E-21,-5.64302073523249E-07,8.11210346787572E-06,-1.00372969402135E-20,4.80769500241318E-06,0,0,0,0,0,0,package://agv4_varo/meshes/LBcon_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv4_varo/meshes/LBcon_Link.STL,,Wheelcon-4,LBcon,LB,LBcon_Joint,continuous,0.39806,-0.43034,0.74885,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
LB_Link,0,-0.00649999999999995,0,0,0,0,0.0364111988779923,8.56927811367131E-06,-3.41691763893474E-25,1.37471742776323E-38,1.61103246905048E-05,2.54747297031203E-20,8.56927811367131E-06,0,0,0,0,0,0,package://agv4_varo/meshes/LB_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv4_varo/meshes/LB_Link.STL,,FB_wheel-4,LeftB,Back,LB_Joint,continuous,-0.0078639,0.0065,-0.04,0,0,0,LBcon_Link,0,-1,0,,,,,,,,,,,,
RBcon_Link,-0.00121269193407103,0,-0.000415480513364208,0,0,0,0.0257521038737953,8.61473826778217E-06,3.62998319919443E-21,-5.64302073523249E-07,8.11210346787568E-06,-1.09996468374281E-20,4.80769500241318E-06,0,0,0,0,0,0,package://agv4_varo/meshes/RBcon_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv4_varo/meshes/RBcon_Link.STL,,Wheelcon-3,RBcon,RB,RBcon_Joint,continuous,0.39806,-0.43034,0.36885,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
RB_Link,0,0.00650000000000001,5.55111512312578E-17,0,0,0,0.0364111988779923,8.56927811367131E-06,1.67531682123137E-26,2.71902666684231E-37,1.61103246905048E-05,2.54747297031203E-20,8.56927811367131E-06,0,0,0,0,0,0,package://agv4_varo/meshes/RB_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv4_varo/meshes/RB_Link.STL,,FB_wheel-3,RightB,Back,RB_Joint,continuous,-0.0078639,-0.0065,-0.04,0,0,0,RBcon_Link,0,-1,0,,,,,,,,,,,,
